구,주소,상호,휘발유,경유,위도,경도
강서구,부산 강서구 가락대로 389 (송정동),CJ대한통운㈜ 성민주유소,1569,1429,35.1073909,128.8471073
강서구,부산 강서구 가락대로 546 (구랑동),구랑주유소,1569,1429,35.1274383,128.8542168
강서구,부산 강서구 호계로 200 (죽동동),(주)우양네트웍스 송산주유소,1575,1448,35.2090131,128.8909415
강서구,부산 강서구 가락대로 963,(주)범방주유소,1579,1439,35.156477,128.8844438
강서구,부산 강서구 르노삼성대로 604 (명지동),대양석유(주)한마음주유소,1579,1439,35.101597,128.9286125
강서구,부산 강서구 공항로 381 (대저2동),맥도주유소,1579,1439,35.1423125,128.9492062
강서구,부산 강서구 호계로 1 (죽림동),오봉주유소,1588,1449,35.1959192,128.9010807
강서구,부산 강서구 가락대로 1417,제일주유소,1588,1458,35.1911088,128.9038711
강서구,부산 강서구 신항남로 507,내트럭(주) 부산신항남컨사업소,1589,1499,35.0674602,128.8338993
강서구,부산광역시 강서구  낙동남로 448 (녹산동),부산축산업협동조합 농협주유소,1589,1446,35.1138853,128.8844628
강서구,부산 강서구 낙동남로 501 (녹산동),㈜도감에너지,1589,1439,35.1127562,128.8744421
강서구,부산 강서구 평강로 309 (대저1동),평강주유소,1596,1446,35.2126119,128.9465611
강서구,부산 강서구 공항로 1423 (대저1동),이왕주유소,1598,1468,35.2149639,128.9700669
강서구,부산 강서구 가락대로 1361 (봉림동),금룡주유소,1598,1468,35.1688485,128.8946363
강서구,부산 강서구 낙동남로 700,녹산주유소,1599,1429,35.1199308,128.8925583
강서구,부산 강서구 공항로 799 (대저2동),(주)우양네트웍스 구도일주유소 삼광,1599,1459,35.1783867,128.95762
강서구,부산 강서구 공항진입로 25 (대저2동),김해공항주유소,1599,1459,35.1809924,128.9554027
강서구,부산 강서구 가락대로1243번길 68,신항만주유소,1599,1435,35.1765273,128.8973495
강서구,부산 강서구 녹산산업북로 119 (송정동),녹산화물터미널주유소,1628,1498,35.0992685,128.8372639
강서구,부산 강서구 생곡로 337 (생곡동),유성주유소,1628,1468,35.1381968,128.8789379
강서구,부산 강서구 낙동남로 667 (녹산동),우리들주유소,1628,1465,35.1182288,128.8897197
강서구,부산 강서구 대저로 283 (대저1동),명품주유소,1658,1508,35.2122785,128.9830328
강서구,부산 강서구 체육공원로 66 (대저1동),(주)시큐 대저고속주유소,1658,1429,35.2097568,128.9746517
강서구,부산 강서구 과학산단로 297 (지사동),(주)소모 과학셀프주유소,1659,1499,35.1486221,128.8372388
강서구,부산광역시 강서구 남해2지선고속도로 19,서부산주유소(순천방향),1668,1528,35.1622454,128.9221863
강서구,부산 강서구 낙동남로 1042,명지주유소,1678,1558,35.1126998,128.9266869
강서구,부산 강서구 명지국제2로28번길 36,(주)서호주유소,1678,1518,35.0921737,128.9090982
강서구,부산 강서구 가락대로210번길 102,만선주유소,1698,1558,35.1054222,128.8439241
강서구,부산 강서구 가락대로 649,비케이원(주) 미래드림주유소,1709,1559,35.1347164,128.8638059
강서구,부산 강서구 거가대로 2571,대양산업(주)대양가덕주유소,1788,1638,35.0228415,128.8078705
강서구,부산 강서구 르노삼성대로 372,광신석유(주)직영 명지주유소,1899,1897,35.0893564,128.8975986
사하구,부산 사하구 장평로 177 (장림동),서부산농협주유소,1559,1389,35.0818527,128.9724283
사하구,부산 사하구 장평로 152 (장림동),새마당주유소 (주)지오에너지,1569,1389,35.0797432,128.9729467
사하구,부산 사하구 다대로 292 (장림동),장림대흥주유소,1569,1389,35.0765381,128.9783015
사하구,부산 사하구 다대로 575 (다대동),전진알뜰주유소,1574,1434,35.0552016,128.9708083
사하구,부산 사하구 을숙도대로 564,부영석유 도매주유소,1574,1434,35.0850714,128.9674708
사하구,부산 사하구 감천로 79 (감천동),에스씨(주) 감천주유소,1574,1434,35.0892358,129.0010713
사하구,부산 사하구 을숙도대로 583,사하주유소,1574,1434,35.0854872,128.9693107
사하구,부산 사하구 을숙도대로 530 (신평동),광신홀딩스㈜ 직영 을숙도대로주유소,1574,1434,35.085085,128.9636836
사하구,부산 사하구 감천항로 445 (구평동),동원주유소(주),1574,1465,35.0542059,128.9953369
사하구,부산 사하구 다대로 581 (다대동),토성셀프주유소,1574,1434,35.054792,128.9708838
사하구,부산 사하구 사하로 150,회화에너지,1574,1434,35.0949598,128.9936811
사하구,부산광역시 사하구  사하로 129,대양석유(주) SK괴정주유소,1574,1434,35.0934703,128.9925083
사하구,부산 사하구 하신중앙로 165,극동유화(주) 부산주유소,1595,1475,35.0930867,128.9629145
사하구,부산 사하구 하신중앙로 240,남성주유소,1597,1497,35.099835,128.9610191
